,date,Infected,Area
1,2019-12-30,1,Rajshahi
2,2019-12-29,1,Rajshahi
3,2019-12-28,0,Rajshahi
4,2019-12-27,0,Rajshahi
5,2019-12-26,0,Rajshahi
6,2019-12-25,0,Rajshahi
7,2019-12-24,0,Rajshahi
8,2019-12-23,0,Rajshahi
9,2019-12-22,0,Rajshahi
10,2019-12-21,0,Rajshahi
11,2019-12-20,0,Rajshahi
12,2019-12-19,1,Rajshahi
13,2019-12-18,1,Rajshahi
14,2019-12-17,0,Rajshahi
15,2019-12-16,0,Rajshahi
16,2019-12-15,0,Rajshahi
17,2019-12-14,0,Rajshahi
18,2019-12-13,1,Rajshahi
19,2019-12-12,1,Rajshahi
20,2019-12-11,0,Rajshahi
21,2019-12-10,0,Rajshahi
22,2019-12-09,0,Rajshahi
23,2019-12-08,2,Rajshahi
24,2019-12-07,1,Rajshahi
25,2019-12-06,0,Rajshahi
26,2019-12-05,2,Rajshahi
27,2019-12-04,1,Rajshahi
28,2019-12-03,0,Rajshahi
29,2019-12-02,2,Rajshahi
30,2019-12-01,6,Rajshahi
31,2019-11-30,2,Rajshahi
32,2019-11-29,2,Rajshahi
33,2019-11-28,2,Rajshahi
34,2019-11-27,4,Rajshahi
35,2019-11-26,5,Rajshahi
36,2019-11-25,4,Rajshahi
37,2019-11-24,3,Rajshahi
38,2019-11-23,3,Rajshahi
39,2019-11-22,2,Rajshahi
40,2019-11-21,6,Rajshahi
41,2019-11-20,5,Rajshahi
42,2019-11-19,8,Rajshahi
43,2019-11-18,5,Rajshahi
44,2019-11-17,7,Rajshahi
45,2019-11-16,7,Rajshahi
46,2019-11-15,0,Rajshahi
47,2019-11-14,4,Rajshahi
48,2019-11-13,5,Rajshahi
49,2019-11-12,5,Rajshahi
50,2019-11-11,4,Rajshahi
51,2019-11-10,4,Rajshahi
52,2019-11-09,8,Rajshahi
53,2019-11-08,2,Rajshahi
54,2019-11-07,11,Rajshahi
55,2019-11-06,4,Rajshahi
56,2019-11-05,4,Rajshahi
57,2019-11-04,4,Rajshahi
58,2019-11-03,8,Rajshahi
59,2019-11-02,3,Rajshahi
60,2019-11-01,6,Rajshahi
61,2019-10-31,9,Rajshahi
62,2019-10-30,4,Rajshahi
63,2019-10-29,9,Rajshahi
64,2019-10-28,6,Rajshahi
65,2019-10-27,15,Rajshahi
66,2019-10-26,11,Rajshahi
67,2019-10-25,4,Rajshahi
68,2019-10-24,11,Rajshahi
69,2019-10-23,8,Rajshahi
70,2019-10-22,7,Rajshahi
71,2019-10-21,5,Rajshahi
72,2019-10-20,10,Rajshahi
73,2019-10-19,6,Rajshahi
74,2019-10-18,6,Rajshahi
75,2019-10-17,13,Rajshahi
76,2019-10-16,25,Rajshahi
77,2019-10-15,12,Rajshahi
78,2019-10-14,23,Rajshahi
79,2019-10-13,16,Rajshahi
80,2019-10-12,15,Rajshahi
81,2019-10-11,20,Rajshahi
82,2019-10-10,14,Rajshahi
83,2019-10-09,9,Rajshahi
84,2019-10-08,13,Rajshahi
85,2019-10-07,19,Rajshahi
86,2019-10-06,14,Rajshahi
87,2019-10-05,10,Rajshahi
88,2019-10-04,22,Rajshahi
89,2019-10-03,15,Rajshahi
90,2019-10-02,15,Rajshahi
91,2019-10-01,17,Rajshahi
92,2019-09-30,15,Rajshahi
93,2019-09-29,21,Rajshahi
94,2019-09-28,16,Rajshahi
95,2019-09-27,36,Rajshahi
96,2019-09-26,16,Rajshahi
97,2019-09-25,19,Rajshahi
98,2019-09-24,30,Rajshahi
99,2019-09-23,23,Rajshahi
100,2019-09-22,31,Rajshahi
101,2019-09-21,17,Rajshahi
102,2019-09-20,30,Rajshahi
103,2019-09-19,17,Rajshahi
104,2019-09-18,22,Rajshahi
105,2019-09-17,35,Rajshahi
106,2019-09-16,36,Rajshahi
107,2019-09-15,40,Rajshahi
108,2019-09-14,30,Rajshahi
109,2019-09-13,47,Rajshahi
110,2019-09-12,49,Rajshahi
111,2019-09-11,44,Rajshahi
112,2019-09-10,46,Rajshahi
113,2019-09-09,32,Rajshahi
114,2019-09-08,42,Rajshahi
115,2019-09-07,39,Rajshahi
116,2019-09-06,46,Rajshahi
117,2019-09-05,51,Rajshahi
118,2019-09-04,43,Rajshahi
119,2019-09-03,53,Rajshahi
120,2019-09-02,42,Rajshahi
121,2019-09-01,54,Rajshahi
122,2019-08-31,32,Rajshahi
123,2019-08-30,60,Rajshahi
124,2019-08-29,69,Rajshahi
125,2019-08-28,67,Rajshahi
126,2019-08-27,76,Rajshahi
127,2019-08-26,78,Rajshahi
128,2019-08-25,78,Rajshahi
129,2019-08-24,57,Rajshahi
