Unnamed: 0,date,Infected,Area
1,2019-12-30,0,Barisal
2,2019-12-29,0,Barisal
3,2019-12-28,1,Barisal
4,2019-12-27,0,Barisal
5,2019-12-26,0,Barisal
6,2019-12-25,0,Barisal
7,2019-12-24,0,Barisal
8,2019-12-23,0,Barisal
9,2019-12-22,2,Barisal
10,2019-12-21,0,Barisal
11,2019-12-20,1,Barisal
12,2019-12-19,3,Barisal
13,2019-12-18,2,Barisal
14,2019-12-17,2,Barisal
15,2019-12-16,2,Barisal
16,2019-12-15,1,Barisal
17,2019-12-14,2,Barisal
18,2019-12-13,1,Barisal
19,2019-12-12,2,Barisal
20,2019-12-11,1,Barisal
21,2019-12-10,3,Barisal
22,2019-12-09,2,Barisal
23,2019-12-08,5,Barisal
24,2019-12-07,0,Barisal
25,2019-12-06,4,Barisal
26,2019-12-05,6,Barisal
27,2019-12-04,3,Barisal
28,2019-12-03,7,Barisal
29,2019-12-02,1,Barisal
30,2019-12-01,6,Barisal
31,2019-11-30,4,Barisal
32,2019-11-29,4,Barisal
33,2019-11-28,5,Barisal
34,2019-11-27,9,Barisal
35,2019-11-26,5,Barisal
36,2019-11-25,5,Barisal
37,2019-11-24,3,Barisal
38,2019-11-23,2,Barisal
39,2019-11-22,4,Barisal
40,2019-11-21,9,Barisal
41,2019-11-20,5,Barisal
42,2019-11-19,9,Barisal
43,2019-11-18,9,Barisal
44,2019-11-17,10,Barisal
45,2019-11-16,15,Barisal
46,2019-11-15,7,Barisal
47,2019-11-14,13,Barisal
48,2019-11-13,18,Barisal
49,2019-11-12,15,Barisal
50,2019-11-11,2,Barisal
51,2019-11-10,6,Barisal
52,2019-11-09,6,Barisal
53,2019-11-08,18,Barisal
54,2019-11-07,32,Barisal
55,2019-11-06,17,Barisal
56,2019-11-05,27,Barisal
57,2019-11-04,23,Barisal
58,2019-11-03,24,Barisal
59,2019-11-02,13,Barisal
60,2019-11-01,34,Barisal
61,2019-10-31,25,Barisal
62,2019-10-30,35,Barisal
63,2019-10-29,29,Barisal
64,2019-10-28,44,Barisal
65,2019-10-27,33,Barisal
66,2019-10-26,22,Barisal
67,2019-10-25,23,Barisal
68,2019-10-24,21,Barisal
69,2019-10-23,22,Barisal
70,2019-10-22,32,Barisal
71,2019-10-21,28,Barisal
72,2019-10-20,25,Barisal
73,2019-10-19,42,Barisal
74,2019-10-18,26,Barisal
75,2019-10-17,44,Barisal
76,2019-10-16,32,Barisal
77,2019-10-15,31,Barisal
78,2019-10-14,28,Barisal
79,2019-10-13,30,Barisal
80,2019-10-12,25,Barisal
81,2019-10-11,30,Barisal
82,2019-10-10,37,Barisal
83,2019-10-09,35,Barisal
84,2019-10-08,23,Barisal
85,2019-10-07,31,Barisal
86,2019-10-06,38,Barisal
87,2019-10-05,38,Barisal
88,2019-10-04,29,Barisal
89,2019-10-03,36,Barisal
90,2019-10-02,31,Barisal
91,2019-10-01,46,Barisal
92,2019-09-30,30,Barisal
93,2019-09-29,36,Barisal
94,2019-09-28,30,Barisal
95,2019-09-27,38,Barisal
96,2019-09-26,37,Barisal
97,2019-09-25,49,Barisal
98,2019-09-24,44,Barisal
99,2019-09-23,49,Barisal
100,2019-09-22,65,Barisal
101,2019-09-21,51,Barisal
102,2019-09-20,42,Barisal
103,2019-09-19,43,Barisal
104,2019-09-18,48,Barisal
105,2019-09-17,63,Barisal
106,2019-09-16,60,Barisal
107,2019-09-15,65,Barisal
108,2019-09-14,49,Barisal
109,2019-09-13,54,Barisal
110,2019-09-12,64,Barisal
111,2019-09-11,67,Barisal
112,2019-09-10,67,Barisal
113,2019-09-09,68,Barisal
114,2019-09-08,66,Barisal
115,2019-09-07,63,Barisal
116,2019-09-06,57,Barisal
117,2019-09-05,62,Barisal
118,2019-09-04,78,Barisal
119,2019-09-03,56,Barisal
120,2019-09-02,61,Barisal
121,2019-09-01,93,Barisal
122,2019-08-31,63,Barisal
123,2019-08-30,87,Barisal
124,2019-08-29,106,Barisal
125,2019-08-28,105,Barisal
126,2019-08-27,102,Barisal
127,2019-08-26,111,Barisal
128,2019-08-25,126,Barisal
129,2019-08-24,106,Barisal
