,date,Infected,Area
0,2016-01-01,0,Chittagong
1,2016-01-02,0,Chittagong
2,2016-01-03,0,Chittagong
3,2016-01-04,0,Chittagong
4,2016-01-05,0,Chittagong
5,2016-01-06,0,Chittagong
6,2016-01-07,0,Chittagong
7,2016-01-08,0,Chittagong
8,2016-01-09,0,Chittagong
9,2016-01-10,0,Chittagong
10,2016-01-11,0,Chittagong
11,2016-01-12,0,Chittagong
12,2016-01-13,0,Chittagong
13,2016-01-14,0,Chittagong
14,2016-01-15,0,Chittagong
15,2016-01-16,0,Chittagong
16,2016-01-17,0,Chittagong
17,2016-01-18,0,Chittagong
18,2016-01-19,0,Chittagong
19,2016-01-20,0,Chittagong
20,2016-01-21,0,Chittagong
21,2016-01-22,0,Chittagong
22,2016-01-23,0,Chittagong
23,2016-01-24,0,Chittagong
24,2016-01-25,0,Chittagong
25,2016-01-26,0,Chittagong
26,2016-01-27,0,Chittagong
27,2016-01-28,0,Chittagong
28,2016-01-29,0,Chittagong
29,2016-01-30,0,Chittagong
30,2016-01-31,0,Chittagong
31,2016-02-01,0,Chittagong
32,2016-02-02,0,Chittagong
33,2016-02-03,0,Chittagong
34,2016-02-04,0,Chittagong
35,2016-02-05,0,Chittagong
36,2016-02-06,0,Chittagong
37,2016-02-07,0,Chittagong
38,2016-02-08,0,Chittagong
39,2016-02-09,0,Chittagong
40,2016-02-10,0,Chittagong
41,2016-02-11,0,Chittagong
42,2016-02-12,0,Chittagong
43,2016-02-13,0,Chittagong
44,2016-02-14,0,Chittagong
45,2016-02-15,0,Chittagong
46,2016-02-16,0,Chittagong
47,2016-02-17,0,Chittagong
48,2016-02-18,0,Chittagong
49,2016-02-19,0,Chittagong
50,2016-02-20,0,Chittagong
51,2016-02-21,0,Chittagong
52,2016-02-22,0,Chittagong
53,2016-02-23,0,Chittagong
54,2016-02-24,0,Chittagong
55,2016-02-25,0,Chittagong
56,2016-02-26,0,Chittagong
57,2016-02-27,0,Chittagong
58,2016-02-28,0,Chittagong
59,2016-02-29,0,Chittagong
60,2016-03-01,0,Chittagong
61,2016-03-02,0,Chittagong
62,2016-03-03,0,Chittagong
63,2016-03-04,0,Chittagong
64,2016-03-05,0,Chittagong
65,2016-03-06,0,Chittagong
66,2016-03-07,0,Chittagong
67,2016-03-08,0,Chittagong
68,2016-03-09,0,Chittagong
69,2016-03-10,0,Chittagong
70,2016-03-11,0,Chittagong
71,2016-03-12,0,Chittagong
72,2016-03-13,0,Chittagong
73,2016-03-14,0,Chittagong
74,2016-03-15,0,Chittagong
75,2016-03-16,0,Chittagong
76,2016-03-17,0,Chittagong
77,2016-03-18,0,Chittagong
78,2016-03-19,0,Chittagong
79,2016-03-20,0,Chittagong
80,2016-03-21,0,Chittagong
81,2016-03-22,0,Chittagong
82,2016-03-23,0,Chittagong
83,2016-03-24,0,Chittagong
84,2016-03-25,0,Chittagong
85,2016-03-26,0,Chittagong
86,2016-03-27,0,Chittagong
87,2016-03-28,0,Chittagong
88,2016-03-29,0,Chittagong
89,2016-03-30,0,Chittagong
90,2016-03-31,0,Chittagong
91,2016-04-01,0,Chittagong
92,2016-04-02,0,Chittagong
93,2016-04-03,0,Chittagong
94,2016-04-04,0,Chittagong
95,2016-04-05,0,Chittagong
96,2016-04-06,0,Chittagong
97,2016-04-07,0,Chittagong
98,2016-04-08,0,Chittagong
99,2016-04-09,0,Chittagong
100,2016-04-10,0,Chittagong
101,2016-04-11,0,Chittagong
102,2016-04-12,0,Chittagong
103,2016-04-13,0,Chittagong
104,2016-04-14,0,Chittagong
105,2016-04-15,0,Chittagong
106,2016-04-16,0,Chittagong
107,2016-04-17,0,Chittagong
108,2016-04-18,0,Chittagong
109,2016-04-19,0,Chittagong
110,2016-04-20,0,Chittagong
111,2016-04-21,0,Chittagong
112,2016-04-22,0,Chittagong
113,2016-04-23,0,Chittagong
114,2016-04-24,0,Chittagong
115,2016-04-25,0,Chittagong
116,2016-04-26,0,Chittagong
117,2016-04-27,0,Chittagong
118,2016-04-28,0,Chittagong
119,2016-04-29,0,Chittagong
120,2016-04-30,0,Chittagong
121,2016-05-01,0,Chittagong
122,2016-05-02,0,Chittagong
123,2016-05-03,0,Chittagong
124,2016-05-04,0,Chittagong
125,2016-05-05,0,Chittagong
126,2016-05-06,0,Chittagong
127,2016-05-07,0,Chittagong
128,2016-05-08,0,Chittagong
129,2016-05-09,0,Chittagong
130,2016-05-10,0,Chittagong
131,2016-05-11,0,Chittagong
