Unnamed: 0,date,Area,Infected_Cases
156,2016-06-05,Dhaka,2.0
157,2016-06-06,Dhaka,4.0
158,2016-06-07,Dhaka,5.0
159,2016-06-08,Dhaka,4.0
160,2016-06-09,Dhaka,5.0
161,2016-06-10,Dhaka,3.0
162,2016-06-11,Dhaka,2.0
163,2016-06-12,Dhaka,4.0
164,2016-06-13,Dhaka,8.0
165,2016-06-14,Dhaka,10.0
166,2016-06-15,Dhaka,14.0
167,2016-06-16,Dhaka,10.0
168,2016-06-17,Dhaka,6.0
169,2016-06-18,Dhaka,7.0
170,2016-06-19,Dhaka,12.0
171,2016-06-20,Dhaka,11.0
172,2016-06-21,Dhaka,8.0
173,2016-06-22,Dhaka,8.0
174,2016-06-23,Dhaka,14.0
175,2016-06-24,Dhaka,9.0
176,2016-06-25,Dhaka,13.0
177,2016-06-26,Dhaka,19.0
178,2016-06-27,Dhaka,8.0
179,2016-06-28,Dhaka,11.0
180,2016-06-29,Dhaka,21.0
181,2016-06-30,Dhaka,17.0
182,2016-07-01,Dhaka,19.0
183,2016-07-02,Dhaka,14.0
184,2016-07-03,Dhaka,12.0
185,2016-07-04,Dhaka,13.0
186,2016-07-05,Dhaka,14.0
187,2016-07-06,Dhaka,12.0
188,2016-07-07,Dhaka,11.0
189,2016-07-08,Dhaka,11.0
190,2016-07-09,Dhaka,10.0
191,2016-07-10,Dhaka,11.0
192,2016-07-11,Dhaka,34.0
193,2016-07-12,Dhaka,31.0
194,2016-07-13,Dhaka,30.0
195,2016-07-14,Dhaka,22.0
196,2016-07-15,Dhaka,17.0
197,2016-07-16,Dhaka,40.0
198,2016-07-17,Dhaka,48.0
199,2016-07-18,Dhaka,33.0
200,2016-07-19,Dhaka,34.0
201,2016-07-20,Dhaka,34.0
202,2016-07-21,Dhaka,45.0
203,2016-07-22,Dhaka,22.0
204,2016-07-23,Dhaka,35.0
205,2016-07-24,Dhaka,42.0
206,2016-07-25,Dhaka,36.0
207,2016-07-26,Dhaka,43.0
208,2016-07-27,Dhaka,38.0
209,2016-07-28,Dhaka,40.0
210,2016-07-29,Dhaka,55.0
211,2016-07-30,Dhaka,43.0
212,2016-07-31,Dhaka,41.0
213,2016-08-01,Dhaka,47.0
214,2016-08-02,Dhaka,44.0
215,2016-08-03,Dhaka,26.0
216,2016-08-04,Dhaka,50.0
217,2016-08-05,Dhaka,31.0
218,2016-08-06,Dhaka,47.0
219,2016-08-07,Dhaka,48.0
220,2016-08-08,Dhaka,45.0
221,2016-08-09,Dhaka,51.0
222,2016-08-10,Dhaka,36.0
223,2016-08-11,Dhaka,42.0
224,2016-08-12,Dhaka,59.0
225,2016-08-13,Dhaka,43.0
226,2016-08-14,Dhaka,53.0
227,2016-08-15,Dhaka,33.0
228,2016-08-16,Dhaka,51.0
229,2016-08-17,Dhaka,59.0
230,2016-08-18,Dhaka,38.0
231,2016-08-19,Dhaka,48.0
232,2016-08-20,Dhaka,47.0
233,2016-08-21,Dhaka,26.0
234,2016-08-22,Dhaka,60.0
235,2016-08-23,Dhaka,46.0
236,2016-08-24,Dhaka,45.0
237,2016-08-25,Dhaka,45.0
238,2016-08-26,Dhaka,31.0
239,2016-08-27,Dhaka,68.0
240,2016-08-28,Dhaka,34.0
241,2016-08-29,Dhaka,65.0
242,2016-08-30,Dhaka,53.0
243,2016-08-31,Dhaka,52.0
244,2016-09-01,Dhaka,74.0
245,2016-09-02,Dhaka,45.0
246,2016-09-03,Dhaka,64.0
247,2016-09-04,Dhaka,73.0
248,2016-09-05,Dhaka,66.0
249,2016-09-06,Dhaka,60.0
250,2016-09-07,Dhaka,50.0
251,2016-09-08,Dhaka,62.0
252,2016-09-09,Dhaka,30.0
253,2016-09-10,Dhaka,49.0
254,2016-09-11,Dhaka,30.0
255,2016-09-12,Dhaka,28.0
256,2016-09-13,Dhaka,11.0
257,2016-09-14,Dhaka,28.0
258,2016-09-15,Dhaka,51.0
259,2016-09-16,Dhaka,32.0
260,2016-09-17,Dhaka,57.0
261,2016-09-18,Dhaka,55.0
262,2016-09-19,Dhaka,51.0
263,2016-09-20,Dhaka,41.0
264,2016-09-21,Dhaka,52.0
265,2016-09-22,Dhaka,53.0
266,2016-09-23,Dhaka,34.0
267,2016-09-24,Dhaka,56.0
268,2016-09-25,Dhaka,30.0
269,2016-09-26,Dhaka,53.0
270,2016-09-27,Dhaka,53.0
271,2016-09-28,Dhaka,69.0
272,2016-09-29,Dhaka,66.0
273,2016-09-30,Dhaka,37.0
274,2016-10-01,Dhaka,62.0
275,2016-10-02,Dhaka,47.0
276,2016-10-03,Dhaka,48.0
277,2016-10-04,Dhaka,57.0
278,2016-10-05,Dhaka,39.0
279,2016-10-06,Dhaka,49.0
280,2016-10-07,Dhaka,20.0
281,2016-10-08,Dhaka,47.0
282,2016-10-09,Dhaka,57.0
283,2016-10-10,Dhaka,18.0
284,2016-10-11,Dhaka,20.0
285,2016-10-12,Dhaka,22.0
286,2016-10-13,Dhaka,38.0
287,2016-10-14,Dhaka,28.0
288,2016-10-15,Dhaka,34.0
289,2016-10-16,Dhaka,30.0
290,2016-10-17,Dhaka,35.0
291,2016-10-18,Dhaka,22.0
292,2016-10-19,Dhaka,28.0
293,2016-10-20,Dhaka,28.0
294,2016-10-21,Dhaka,19.0
295,2016-10-22,Dhaka,20.0
296,2016-10-23,Dhaka,43.0
297,2016-10-24,Dhaka,30.0
298,2016-10-25,Dhaka,21.0
299,2016-10-26,Dhaka,31.0
300,2016-10-27,Dhaka,28.0
301,2016-10-28,Dhaka,22.0
302,2016-10-29,Dhaka,31.0
303,2016-10-30,Dhaka,27.0
304,2016-10-31,Dhaka,33.0
305,2016-11-01,Dhaka,18.0
306,2016-11-02,Dhaka,30.0
307,2016-11-03,Dhaka,22.0
308,2016-11-04,Dhaka,21.0
309,2016-11-05,Dhaka,33.0
310,2016-11-06,Dhaka,16.0
311,2016-11-07,Dhaka,26.0
312,2016-11-08,Dhaka,15.0
313,2016-11-09,Dhaka,18.0
314,2016-11-10,Dhaka,28.0
315,2016-11-11,Dhaka,9.0
316,2016-11-12,Dhaka,19.0
317,2016-11-13,Dhaka,12.0
318,2016-11-14,Dhaka,26.0
319,2016-11-15,Dhaka,23.0
320,2016-11-16,Dhaka,17.0
321,2016-11-17,Dhaka,18.0
322,2016-11-18,Dhaka,10.0
323,2016-11-19,Dhaka,12.0
324,2016-11-20,Dhaka,15.0
325,2016-11-21,Dhaka,18.0
326,2016-11-22,Dhaka,15.0
327,2016-11-23,Dhaka,8.0
328,2016-11-24,Dhaka,8.0
329,2016-11-25,Dhaka,17.0
330,2016-11-26,Dhaka,16.0
331,2016-11-27,Dhaka,16.0
332,2016-11-28,Dhaka,13.0
333,2016-11-29,Dhaka,15.0
334,2016-11-30,Dhaka,8.0
335,2016-12-01,Dhaka,14.0
336,2016-12-02,Dhaka,8.0
337,2016-12-03,Dhaka,9.0
338,2016-12-04,Dhaka,7.0
339,2016-12-05,Dhaka,7.0
340,2016-12-06,Dhaka,8.0
341,2016-12-07,Dhaka,14.0
342,2016-12-08,Dhaka,10.0
343,2016-12-09,Dhaka,6.0
344,2016-12-10,Dhaka,10.0
345,2016-12-11,Dhaka,2.0
346,2016-12-12,Dhaka,3.0
347,2016-12-13,Dhaka,4.0
348,2016-12-14,Dhaka,7.0
349,2016-12-15,Dhaka,1.0
350,2016-12-16,Dhaka,3.0
351,2016-12-17,Dhaka,2.0
352,2016-12-18,Dhaka,8.0
353,2016-12-19,Dhaka,5.0
354,2016-12-20,Dhaka,4.0
355,2016-12-21,Dhaka,3.0
356,2016-12-22,Dhaka,1.0
357,2016-12-26,Dhaka,1.0
358,2016-12-27,Dhaka,1.0
359,2016-12-28,Dhaka,0.0
360,2016-12-29,Dhaka,0.0
361,2016-12-31,Dhaka,0.0
362,2016-12-30,Dhaka,1.0
