,date,Infected,Area
0,2020-12-31,11,Chittagong
1,2020-12-30,5,Chittagong
2,2020-12-29,19,Chittagong
3,2020-12-28,18,Chittagong
4,2020-12-27,18,Chittagong
5,2020-12-26,36,Chittagong
6,2020-12-25,10,Chittagong
7,2020-12-24,19,Chittagong
8,2020-12-23,3,Chittagong
9,2020-12-22,20,Chittagong
10,2020-12-21,27,Chittagong
11,2020-12-20,17,Chittagong
12,2020-12-19,19,Chittagong
13,2020-12-18,40,Chittagong
14,2020-12-17,28,Chittagong
15,2020-12-16,10,Chittagong
16,2020-12-15,37,Chittagong
17,2020-12-14,51,Chittagong
18,2020-12-13,68,Chittagong
19,2020-12-12,45,Chittagong
20,2020-12-11,45,Chittagong
21,2020-12-10,79,Chittagong
22,2020-12-09,12,Chittagong
23,2020-12-08,47,Chittagong
24,2020-12-07,54,Chittagong
25,2020-12-06,73,Chittagong
26,2020-12-05,84,Chittagong
27,2020-12-04,108,Chittagong
28,2020-12-03,68,Chittagong
29,2020-12-02,29,Chittagong
30,2020-12-01,59,Chittagong
31,2020-11-30,96,Chittagong
32,2020-11-29,74,Chittagong
33,2020-11-28,86,Chittagong
34,2020-11-27,95,Chittagong
35,2020-11-26,96,Chittagong
36,2020-11-25,30,Chittagong
37,2020-11-24,124,Chittagong
38,2020-11-23,100,Chittagong
39,2020-11-22,81,Chittagong
40,2020-11-21,172,Chittagong
41,2020-11-20,130,Chittagong
42,2020-11-19,114,Chittagong
43,2020-11-18,21,Chittagong
44,2020-11-17,139,Chittagong
45,2020-11-16,95,Chittagong
46,2020-11-15,112,Chittagong
47,2020-11-14,123,Chittagong
48,2020-11-13,200,Chittagong
49,2020-11-12,149,Chittagong
50,2020-11-11,38,Chittagong
51,2020-11-10,169,Chittagong
52,2020-11-09,129,Chittagong
53,2020-11-08,111,Chittagong
54,2020-11-07,92,Chittagong
55,2020-11-06,102,Chittagong
56,2020-11-05,153,Chittagong
57,2020-11-04,44,Chittagong
58,2020-11-03,127,Chittagong
59,2020-11-02,140,Chittagong
60,2020-11-01,102,Chittagong
61,2020-10-31,148,Chittagong
62,2020-10-30,143,Chittagong
63,2020-10-29,158,Chittagong
64,2020-10-28,48,Chittagong
65,2020-10-27,153,Chittagong
66,2020-10-26,127,Chittagong
67,2020-10-25,96,Chittagong
68,2020-10-24,110,Chittagong
69,2020-10-23,145,Chittagong
70,2020-10-22,120,Chittagong
71,2020-10-21,20,Chittagong
72,2020-10-20,97,Chittagong
73,2020-10-19,96,Chittagong
74,2020-10-18,123,Chittagong
75,2020-10-17,88,Chittagong
76,2020-10-16,115,Chittagong
77,2020-10-15,96,Chittagong
78,2020-10-14,26,Chittagong
79,2020-10-13,87,Chittagong
80,2020-10-12,75,Chittagong
81,2020-10-11,83,Chittagong
82,2020-10-10,90,Chittagong
83,2020-10-09,18,Chittagong
84,2020-10-08,102,Chittagong
85,2020-10-07,0,Chittagong
86,2020-10-06,90,Chittagong
87,2020-10-05,21,Chittagong
88,2020-10-04,33,Chittagong
89,2020-10-03,60,Chittagong
90,2020-10-02,69,Chittagong
91,2020-10-01,42,Chittagong
92,2020-09-30,36,Chittagong
93,2020-09-29,45,Chittagong
94,2020-09-28,58,Chittagong
95,2020-09-27,42,Chittagong
96,2020-09-26,44,Chittagong
97,2020-09-25,42,Chittagong
98,2020-09-24,67,Chittagong
99,2020-09-23,16,Chittagong
100,2020-09-22,55,Chittagong
101,2020-09-21,34,Chittagong
102,2020-09-20,50,Chittagong
103,2020-09-19,57,Chittagong
104,2020-09-18,49,Chittagong
105,2020-09-17,15,Chittagong
106,2020-09-16,7,Chittagong
107,2020-09-15,49,Chittagong
108,2020-09-14,57,Chittagong
109,2020-09-13,53,Chittagong
110,2020-09-12,52,Chittagong
111,2020-09-11,88,Chittagong
112,2020-09-10,33,Chittagong
113,2020-09-09,0,Chittagong
114,2020-09-08,40,Chittagong
115,2020-09-07,47,Chittagong
116,2020-09-06,33,Chittagong
117,2020-09-05,32,Chittagong
118,2020-09-04,28,Chittagong
119,2020-09-03,25,Chittagong
120,2020-09-02,11,Chittagong
121,2020-09-01,17,Chittagong
122,2020-08-31,33,Chittagong
123,2020-08-30,32,Chittagong
124,2020-08-29,47,Chittagong
125,2020-08-28,26,Chittagong
126,2020-08-27,12,Chittagong
127,2020-08-26,0,Chittagong
128,2020-08-25,31,Chittagong
129,2020-08-24,29,Chittagong
130,2020-08-23,43,Chittagong
131,2020-08-22,11,Chittagong
132,2020-08-21,17,Chittagong
133,2020-08-20,13,Chittagong
134,2020-08-19,5,Chittagong
135,2020-08-18,8,Chittagong
136,2020-08-17,14,Chittagong
137,2020-08-16,16,Chittagong
138,2020-08-15,24,Chittagong
139,2020-08-14,39,Chittagong
140,2020-08-13,0,Chittagong
141,2020-08-12,0,Chittagong
142,2020-08-11,13,Chittagong
143,2020-08-10,18,Chittagong
144,2020-08-09,0,Chittagong
145,2020-08-08,18,Chittagong
146,2020-08-07,14,Chittagong
147,2020-08-06,0,Chittagong
148,2020-08-05,0,Chittagong
