,date,Infected,Area
0,2020-12-31,0,Khulna
1,2020-12-30,0,Khulna
2,2020-12-29,0,Khulna
3,2020-12-28,0,Khulna
4,2020-12-27,0,Khulna
5,2020-12-26,0,Khulna
6,2020-12-25,0,Khulna
7,2020-12-24,0,Khulna
8,2020-12-23,0,Khulna
9,2020-12-22,0,Khulna
10,2020-12-21,1,Khulna
11,2020-12-20,0,Khulna
12,2020-12-19,2,Khulna
13,2020-12-18,2,Khulna
14,2020-12-17,0,Khulna
15,2020-12-16,3,Khulna
16,2020-12-15,1,Khulna
17,2020-12-14,0,Khulna
18,2020-12-13,0,Khulna
19,2020-12-12,3,Khulna
20,2020-12-11,0,Khulna
21,2020-12-10,6,Khulna
22,2020-12-09,1,Khulna
23,2020-12-08,3,Khulna
24,2020-12-07,4,Khulna
25,2020-12-06,1,Khulna
26,2020-12-05,2,Khulna
27,2020-12-04,4,Khulna
28,2020-12-03,0,Khulna
29,2020-12-02,1,Khulna
30,2020-12-01,1,Khulna
31,2020-11-30,1,Khulna
32,2020-11-29,5,Khulna
33,2020-11-28,3,Khulna
34,2020-11-27,6,Khulna
35,2020-11-26,1,Khulna
36,2020-11-25,0,Khulna
37,2020-11-24,2,Khulna
38,2020-11-23,1,Khulna
39,2020-11-22,2,Khulna
40,2020-11-21,0,Khulna
41,2020-11-20,0,Khulna
42,2020-11-19,5,Khulna
43,2020-11-18,1,Khulna
44,2020-11-17,0,Khulna
45,2020-11-16,0,Khulna
46,2020-11-15,3,Khulna
47,2020-11-14,2,Khulna
48,2020-11-13,0,Khulna
49,2020-11-12,0,Khulna
50,2020-11-11,0,Khulna
51,2020-11-10,5,Khulna
52,2020-11-09,1,Khulna
53,2020-11-08,1,Khulna
54,2020-11-07,0,Khulna
55,2020-11-06,0,Khulna
56,2020-11-05,0,Khulna
57,2020-11-04,0,Khulna
58,2020-11-03,1,Khulna
59,2020-11-02,2,Khulna
60,2020-11-01,0,Khulna
61,2020-10-31,0,Khulna
62,2020-10-30,0,Khulna
63,2020-10-29,0,Khulna
64,2020-10-28,0,Khulna
65,2020-10-27,0,Khulna
66,2020-10-26,0,Khulna
67,2020-10-25,2,Khulna
68,2020-10-24,0,Khulna
69,2020-10-23,0,Khulna
70,2020-10-22,0,Khulna
71,2020-10-21,0,Khulna
72,2020-10-20,1,Khulna
73,2020-10-19,0,Khulna
74,2020-10-18,0,Khulna
75,2020-10-17,0,Khulna
76,2020-10-16,0,Khulna
77,2020-10-15,0,Khulna
78,2020-10-14,0,Khulna
79,2020-10-13,0,Khulna
80,2020-10-12,0,Khulna
81,2020-10-11,1,Khulna
82,2020-10-10,0,Khulna
83,2020-10-09,0,Khulna
84,2020-10-08,0,Khulna
85,2020-10-07,0,Khulna
86,2020-10-06,0,Khulna
87,2020-10-05,0,Khulna
88,2020-10-04,0,Khulna
89,2020-10-03,0,Khulna
90,2020-10-02,0,Khulna
91,2020-10-01,0,Khulna
92,2020-09-30,0,Khulna
93,2020-09-29,1,Khulna
94,2020-09-28,0,Khulna
95,2020-09-27,0,Khulna
96,2020-09-26,0,Khulna
97,2020-09-25,0,Khulna
98,2020-09-24,0,Khulna
99,2020-09-23,0,Khulna
100,2020-09-22,0,Khulna
101,2020-09-21,0,Khulna
102,2020-09-20,0,Khulna
103,2020-09-19,0,Khulna
104,2020-09-18,0,Khulna
105,2020-09-17,0,Khulna
106,2020-09-16,0,Khulna
107,2020-09-15,0,Khulna
108,2020-09-14,0,Khulna
109,2020-09-13,0,Khulna
110,2020-09-12,0,Khulna
111,2020-09-11,0,Khulna
112,2020-09-10,0,Khulna
113,2020-09-09,0,Khulna
114,2020-09-08,0,Khulna
115,2020-09-07,1,Khulna
116,2020-09-06,0,Khulna
117,2020-09-05,0,Khulna
118,2020-09-04,0,Khulna
119,2020-09-03,0,Khulna
120,2020-09-02,0,Khulna
121,2020-09-01,0,Khulna
122,2020-08-31,0,Khulna
123,2020-08-30,0,Khulna
124,2020-08-29,0,Khulna
125,2020-08-28,0,Khulna
126,2020-08-27,1,Khulna
127,2020-08-26,0,Khulna
