,date,Infected,Area
177,2020-07-07,0,Mymensingh
178,2020-07-06,0,Mymensingh
179,2020-07-05,2,Mymensingh
180,2020-07-04,0,Mymensingh
181,2020-07-03,1,Mymensingh
182,2020-07-02,0,Mymensingh
183,2020-07-01,0,Mymensingh
184,2020-06-30,0,Mymensingh
185,2020-06-29,0,Mymensingh
186,2020-06-28,0,Mymensingh
187,2020-06-27,0,Mymensingh
188,2020-06-26,1,Mymensingh
189,2020-06-25,2,Mymensingh
190,2020-06-24,1,Mymensingh
191,2020-06-23,1,Mymensingh
192,2020-06-22,0,Mymensingh
193,2020-06-21,0,Mymensingh
194,2020-06-20,1,Mymensingh
195,2020-06-19,0,Mymensingh
196,2020-06-18,0,Mymensingh
197,2020-06-17,0,Mymensingh
198,2020-06-16,0,Mymensingh
199,2020-06-15,0,Mymensingh
200,2020-06-14,0,Mymensingh
201,2020-06-13,0,Mymensingh
202,2020-06-12,0,Mymensingh
203,2020-06-11,0,Mymensingh
204,2020-06-10,0,Mymensingh
205,2020-06-09,0,Mymensingh
206,2020-06-08,0,Mymensingh
207,2020-06-07,1,Mymensingh
208,2020-06-06,1,Mymensingh
209,2020-06-05,0,Mymensingh
210,2020-06-04,0,Mymensingh
211,2020-06-03,0,Mymensingh
212,2020-06-02,0,Mymensingh
213,2020-06-01,0,Mymensingh
214,2020-05-31,0,Mymensingh
215,2020-05-30,0,Mymensingh
216,2020-05-29,0,Mymensingh
217,2020-05-28,0,Mymensingh
218,2020-05-27,0,Mymensingh
219,2020-05-26,0,Mymensingh
220,2020-05-25,0,Mymensingh
221,2020-05-24,0,Mymensingh
222,2020-05-23,0,Mymensingh
223,2020-05-22,0,Mymensingh
224,2020-05-21,0,Mymensingh
225,2020-05-20,0,Mymensingh
226,2020-05-19,0,Mymensingh
227,2020-05-18,0,Mymensingh
228,2020-05-17,0,Mymensingh
229,2020-05-16,0,Mymensingh
230,2020-05-15,0,Mymensingh
231,2020-05-14,0,Mymensingh
232,2020-05-13,0,Mymensingh
233,2020-05-12,0,Mymensingh
234,2020-05-11,0,Mymensingh
235,2020-05-10,0,Mymensingh
236,2020-05-09,0,Mymensingh
