,date,Infected_Cases,Area
159,2020-07-25,2,Dhaka_inner
160,2020-07-24,1,Dhaka_inner
161,2020-07-23,0,Dhaka_inner
162,2020-07-22,0,Dhaka_inner
163,2020-07-21,1,Dhaka_inner
164,2020-07-20,0,Dhaka_inner
165,2020-07-19,2,Dhaka_inner
166,2020-07-18,0,Dhaka_inner
167,2020-07-17,0,Dhaka_inner
168,2020-07-16,1,Dhaka_inner
169,2020-07-15,0,Dhaka_inner
170,2020-07-14,0,Dhaka_inner
171,2020-07-13,2,Dhaka_inner
172,2020-07-12,1,Dhaka_inner
173,2020-07-11,0,Dhaka_inner
174,2020-07-10,0,Dhaka_inner
175,2020-07-09,2,Dhaka_inner
176,2020-07-08,0,Dhaka_inner
177,2020-07-07,0,Dhaka_inner
178,2020-07-06,0,Dhaka_inner
179,2020-07-05,1,Dhaka_inner
180,2020-07-04,0,Dhaka_inner
181,2020-07-03,0,Dhaka_inner
182,2020-07-02,0,Dhaka_inner
183,2020-07-01,0,Dhaka_inner
184,2020-06-30,4,Dhaka_inner
185,2020-06-29,0,Dhaka_inner
186,2020-06-28,1,Dhaka_inner
187,2020-06-27,0,Dhaka_inner
188,2020-06-26,0,Dhaka_inner
189,2020-06-25,3,Dhaka_inner
190,2020-06-24,0,Dhaka_inner
191,2020-06-23,2,Dhaka_inner
192,2020-06-22,0,Dhaka_inner
193,2020-06-21,1,Dhaka_inner
194,2020-06-20,2,Dhaka_inner
195,2020-06-19,0,Dhaka_inner
196,2020-06-18,0,Dhaka_inner
197,2020-06-17,0,Dhaka_inner
198,2020-06-16,1,Dhaka_inner
199,2020-06-15,0,Dhaka_inner
200,2020-06-14,0,Dhaka_inner
201,2020-06-13,0,Dhaka_inner
202,2020-06-12,0,Dhaka_inner
203,2020-06-11,1,Dhaka_inner
204,2020-06-10,1,Dhaka_inner
205,2020-06-09,1,Dhaka_inner
206,2020-06-08,1,Dhaka_inner
207,2020-06-07,0,Dhaka_inner
208,2020-06-06,0,Dhaka_inner
209,2020-06-05,0,Dhaka_inner
210,2020-06-04,0,Dhaka_inner
211,2020-06-03,0,Dhaka_inner
212,2020-06-02,0,Dhaka_inner
213,2020-06-01,0,Dhaka_inner
214,2020-05-31,0,Dhaka_inner
215,2020-05-30,0,Dhaka_inner
216,2020-05-29,1,Dhaka_inner
217,2020-05-28,0,Dhaka_inner
218,2020-05-27,1,Dhaka_inner
219,2020-05-26,0,Dhaka_inner
220,2020-05-25,1,Dhaka_inner
221,2020-05-24,0,Dhaka_inner
222,2020-05-23,0,Dhaka_inner
223,2020-05-22,0,Dhaka_inner
224,2020-05-21,0,Dhaka_inner
225,2020-05-20,1,Dhaka_inner
226,2020-05-19,0,Dhaka_inner
227,2020-05-18,0,Dhaka_inner
228,2020-05-17,0,Dhaka_inner
229,2020-05-16,1,Dhaka_inner
230,2020-05-15,0,Dhaka_inner
231,2020-05-14,0,Dhaka_inner
232,2020-05-13,1,Dhaka_inner
233,2020-05-12,1,Dhaka_inner
234,2020-05-11,0,Dhaka_inner
235,2020-05-10,0,Dhaka_inner
236,2020-05-09,0,Dhaka_inner
237,2020-05-08,0,Dhaka_inner
238,2020-05-07,0,Dhaka_inner
239,2020-05-06,0,Dhaka_inner
240,2020-05-05,0,Dhaka_inner
241,2020-05-04,1,Dhaka_inner
242,2020-05-03,0,Dhaka_inner
243,2020-05-02,0,Dhaka_inner
244,2020-05-01,0,Dhaka_inner
245,2020-04-30,1,Dhaka_inner
246,2020-04-29,1,Dhaka_inner
247,2020-04-28,2,Dhaka_inner
248,2020-04-27,0,Dhaka_inner
249,2020-04-26,0,Dhaka_inner
250,2020-04-25,0,Dhaka_inner
251,2020-04-24,0,Dhaka_inner
252,2020-04-23,0,Dhaka_inner
253,2020-04-22,0,Dhaka_inner
254,2020-04-21,1,Dhaka_inner
255,2020-04-20,0,Dhaka_inner
256,2020-04-19,0,Dhaka_inner
257,2020-04-18,1,Dhaka_inner
258,2020-04-17,0,Dhaka_inner
259,2020-04-16,1,Dhaka_inner
260,2020-04-15,1,Dhaka_inner
261,2020-04-14,2,Dhaka_inner
262,2020-04-13,2,Dhaka_inner
263,2020-04-12,1,Dhaka_inner
264,2020-04-11,1,Dhaka_inner
265,2020-04-10,0,Dhaka_inner
266,2020-04-09,0,Dhaka_inner
267,2020-04-08,6,Dhaka_inner
268,2020-04-07,0,Dhaka_inner
269,2020-04-06,3,Dhaka_inner
270,2020-04-05,0,Dhaka_inner
271,2020-04-04,0,Dhaka_inner
272,2020-04-03,0,Dhaka_inner
273,2020-04-02,0,Dhaka_inner
274,2020-04-01,0,Dhaka_inner
275,2020-03-31,0,Dhaka_inner
276,2020-03-30,1,Dhaka_inner
277,2020-03-29,1,Dhaka_inner
278,2020-03-28,0,Dhaka_inner
279,2020-03-27,0,Dhaka_inner
280,2020-03-26,0,Dhaka_inner
281,2020-03-25,0,Dhaka_inner
